# Mouse, Day, Trialtype, Location (cm)
1,1,1,    -3.195
1,2,1,    -1.129
1,3,1,    -0.672
1,4,1,     4.340
1,5,1,     1.798
1,6,1,     1.921
1,7,1,     2.706
1,8,1,     4.667
1,9,1,     4.702
1,10,1,     7.940
1,11,1,     6.983
1,12,1,    11.578
1,13,1,    11.988
1,14,1,    14.790
1,15,1,    14.889
1,16,1,    13.462
1,17,1,    14.476
1,18,1,    14.670
1,19,1,    13.966
1,20,1,    14.893
1,21,1,    16.726
1,22,1,    16.514
2,1,1,    -1.322
2,2,1,    -0.610
2,3,1,     3.526
2,4,1,     1.612
2,5,1,     5.092
2,6,1,     6.045
2,7,1,    12.461
2,8,1,     7.914
2,9,1,    14.933
2,10,1,     9.947
2,11,1,    15.157
2,12,1,    14.805
2,13,1,    13.610
2,14,1,    13.339
2,15,1,    14.754
2,16,1,    12.467
2,17,1,    21.253
2,18,1,    14.948
2,19,1,    17.855
2,20,1,    25.490
2,21,1,    18.421
2,22,1,    19.525
3,1,1,    -0.770
3,2,1,    -3.637
3,3,1,    -2.612
3,4,1,    -1.583
3,5,1,     4.426
3,6,1,    -1.661
3,7,1,     1.616
3,8,1,     8.236
3,9,1,     4.389
3,10,1,     5.777
3,11,1,     3.504
3,12,1,     1.080
3,13,1,    -1.555
3,14,1,     2.670
3,15,1,     7.515
3,16,1,    15.735
3,17,1,     9.282
3,18,1,    12.540
3,19,1,     7.197
3,20,1,    14.084
3,21,1,     9.584
3,22,1,     4.890
4,1,1,     4.276
4,2,1,    -4.710
4,3,1,    -1.178
4,4,1,     2.886
4,5,1,     1.951
4,6,1,    -4.431
4,7,1,    -0.742
4,8,1,    -3.607
4,9,1,     2.124
4,10,1,     0.089
4,11,1,     0.378
4,12,1,     1.843
4,13,1,     2.051
4,14,1,     5.120
4,15,1,    11.031
4,16,1,     6.799
4,17,1,    17.491
4,18,1,    21.602
4,19,1,    13.791
4,20,1,    15.407
4,21,1,    18.997
4,22,1,    18.835
5,1,1,     2.541
5,2,1,     1.917
5,3,1,     0.641
5,4,1,     2.584
5,5,1,     2.576
5,6,1,     3.355
5,7,1,    -1.089
5,8,1,     7.819
5,9,1,     1.181
5,10,1,     4.784
5,11,1,     1.406
5,12,1,     1.189
5,13,1,     2.423
5,14,1,     3.857
5,15,1,     2.061
5,16,1,     7.064
5,17,1,     7.718
5,18,1,     7.973
5,19,1,    10.246
5,20,1,     8.654
5,21,1,    14.884
5,22,1,       nan
6,1,1,    -2.337
6,2,1,    -3.877
6,3,1,     1.030
6,4,1,    -2.766
6,5,1,    -2.984
6,6,1,    -0.647
6,7,1,    -0.626
6,8,1,    -1.890
6,9,1,    -1.642
6,10,1,     2.421
6,11,1,     8.243
6,12,1,    17.746
6,13,1,     9.631
6,14,1,     9.113
6,15,1,     2.299
6,16,1,    -1.121
6,17,1,     1.994
6,18,1,     4.669
6,19,1,     1.511
6,20,1,    13.789
6,21,1,    12.189
6,22,1,    12.603
7,1,1,     0.643
7,2,1,     0.390
7,3,1,    -3.360
7,4,1,     3.292
7,5,1,    -1.608
7,6,1,    -1.290
7,7,1,    -2.389
7,8,1,    -4.356
7,9,1,     4.012
7,10,1,     0.103
7,11,1,     7.595
7,12,1,    15.699
7,13,1,    18.167
7,14,1,    17.907
7,15,1,    10.793
7,16,1,    11.619
7,17,1,    16.392
7,18,1,     8.548
7,19,1,     3.215
7,20,1,    18.909
7,21,1,    16.431
7,22,1,    11.139
8,1,1,    -0.017
8,2,1,     3.255
8,3,1,     2.749
8,4,1,    -5.866
8,5,1,    -2.250
8,6,1,     1.172
8,7,1,    -0.758
8,8,1,    -6.471
8,9,1,     1.726
8,10,1,    -0.805
8,11,1,    -1.047
8,12,1,    -2.727
8,13,1,     0.762
8,14,1,    -0.351
8,15,1,    -0.388
8,16,1,     1.735
8,17,1,    -6.111
8,18,1,     2.978
8,19,1,    13.769
8,20,1,    18.944
8,21,1,    17.337
8,22,1,    10.287
1,1,2,    -3.353
1,2,2,    -7.320
1,3,2,    -4.197
1,4,2,    -1.660
1,5,2,     0.970
1,6,2,    -0.032
1,7,2,    -0.987
1,8,2,    -0.029
1,9,2,    -1.422
1,10,2,    -2.063
1,11,2,     0.284
1,12,2,     2.225
1,13,2,     2.844
1,14,2,     0.845
1,15,2,     6.676
1,16,2,     4.803
1,17,2,     4.841
1,18,2,    14.755
1,19,2,     9.857
1,20,2,    14.093
1,21,2,     9.016
1,22,2,     8.819
2,1,2,    -5.711
2,2,2,    -3.166
2,3,2,     2.417
2,4,2,     2.180
2,5,2,     4.093
2,6,2,     5.528
2,7,2,     6.967
2,8,2,    12.048
2,9,2,    11.275
2,10,2,     4.532
2,11,2,     9.638
2,12,2,     6.077
2,13,2,    17.075
2,14,2,    11.389
2,15,2,     6.922
2,16,2,    14.091
2,17,2,    24.341
2,18,2,     6.588
2,19,2,    12.237
2,20,2,     4.766
2,21,2,     2.001
2,22,2,     3.400
3,1,2,     5.692
3,2,2,     6.321
3,3,2,    -1.802
3,4,2,     1.849
3,5,2,     0.017
3,6,2,     0.386
3,7,2,   -11.784
3,8,2,    -7.776
3,9,2,     9.887
3,10,2,     0.446
3,11,2,    -3.448
3,12,2,    -3.123
3,13,2,    -0.454
3,14,2,     1.895
3,15,2,     1.230
3,16,2,    11.445
3,17,2,     7.453
3,18,2,    15.493
3,19,2,     8.739
3,20,2,     4.747
3,21,2,    -0.390
3,22,2,     7.232
4,1,2,     0.070
4,2,2,     0.209
4,3,2,    -2.675
4,4,2,   -11.997
4,5,2,     0.102
4,6,2,    -6.064
4,7,2,     5.095
4,8,2,     5.170
4,9,2,    -6.554
4,10,2,    -0.069
4,11,2,    -1.808
4,12,2,    -4.514
4,13,2,    -9.698
4,14,2,     5.025
4,15,2,     2.280
4,16,2,     1.180
4,17,2,     4.157
4,18,2,     1.137
4,19,2,     8.313
4,20,2,     7.760
4,21,2,     9.134
4,22,2,    10.446
5,1,2,    -2.507
5,2,2,     7.124
5,3,2,    -3.001
5,4,2,    26.086
5,5,2,     5.219
5,6,2,   -10.995
5,7,2,     7.632
5,8,2,    -2.233
5,9,2,    -0.087
5,10,2,    -2.975
5,11,2,    -3.343
5,12,2,    -0.108
5,13,2,    -4.247
5,14,2,     2.704
5,15,2,    -1.726
5,16,2,     6.334
5,17,2,    -0.335
5,18,2,     1.325
5,19,2,    -0.708
5,20,2,     2.265
5,21,2,     5.127
5,22,2,       nan
6,1,2,    -0.111
6,2,2,    -4.112
6,3,2,     0.471
6,4,2,    -6.935
6,5,2,    -4.010
6,6,2,    -8.446
6,7,2,    -2.764
6,8,2,   -13.120
6,9,2,    -5.507
6,10,2,     8.019
6,11,2,    -0.092
6,12,2,    15.824
6,13,2,    14.717
6,14,2,     4.492
6,15,2,     0.477
6,16,2,     0.660
6,17,2,    -2.215
6,18,2,     6.154
6,19,2,    -0.172
6,20,2,    17.313
6,21,2,     8.523
6,22,2,    10.501
7,1,2,     0.248
7,2,2,    -2.610
7,3,2,   -10.911
7,4,2,   -20.528
7,5,2,    -4.751
7,6,2,    -0.116
7,7,2,     3.800
7,8,2,     3.551
7,9,2,    -2.561
7,10,2,    -1.235
7,11,2,     5.117
7,12,2,     8.097
7,13,2,    12.984
7,14,2,     7.527
7,15,2,     9.911
7,16,2,     5.494
7,17,2,     4.634
7,18,2,     0.884
7,19,2,     5.355
7,20,2,     4.811
7,21,2,     3.996
7,22,2,    -5.470
8,1,2,     0.166
8,2,2,    -8.621
8,3,2,    -3.997
8,4,2,   -16.921
8,5,2,     4.270
8,6,2,   -13.498
8,7,2,     3.270
8,8,2,    -3.709
8,9,2,    -7.714
8,10,2,    -0.162
8,11,2,     2.636
8,12,2,    -3.156
8,13,2,    -0.055
8,14,2,    -2.539
8,15,2,     0.238
8,16,2,    -2.349
8,17,2,    -8.744
8,18,2,    -0.011
8,19,2,     0.010
8,20,2,     6.505
8,21,2,     7.008
8,22,2,     0.498
1,1,3,       nan
1,2,3,       nan
1,3,3,       nan
1,4,3,       nan
1,5,3,       nan
1,6,3,       nan
1,7,3,       nan
1,8,3,       nan
1,9,3,       nan
1,10,3,       nan
1,11,3,       nan
1,12,3,       nan
1,13,3,       nan
1,14,3,       nan
1,15,3,       nan
1,16,3,       nan
1,17,3,       nan
1,18,3,       nan
1,19,3,       nan
1,20,3,    10.470
1,21,3,    14.741
1,22,3,     5.588
2,1,3,       nan
2,2,3,       nan
2,3,3,       nan
2,4,3,       nan
2,5,3,       nan
2,6,3,       nan
2,7,3,       nan
2,8,3,       nan
2,9,3,       nan
2,10,3,       nan
2,11,3,       nan
2,12,3,       nan
2,13,3,       nan
2,14,3,       nan
2,15,3,    15.362
2,16,3,    18.526
2,17,3,    14.169
2,18,3,    21.657
2,19,3,    12.899
2,20,3,     3.830
2,21,3,     0.294
2,22,3,     6.431
3,1,3,       nan
3,2,3,       nan
3,3,3,       nan
3,4,3,       nan
3,5,3,       nan
3,6,3,       nan
3,7,3,       nan
3,8,3,       nan
3,9,3,       nan
3,10,3,       nan
3,11,3,       nan
3,12,3,       nan
3,13,3,       nan
3,14,3,       nan
3,15,3,       nan
3,16,3,       nan
3,17,3,       nan
3,18,3,       nan
3,19,3,       nan
3,20,3,       nan
3,21,3,       nan
3,22,3,       nan
4,1,3,       nan
4,2,3,       nan
4,3,3,       nan
4,4,3,       nan
4,5,3,       nan
4,6,3,       nan
4,7,3,       nan
4,8,3,       nan
4,9,3,       nan
4,10,3,       nan
4,11,3,       nan
4,12,3,       nan
4,13,3,       nan
4,14,3,       nan
4,15,3,       nan
4,16,3,       nan
4,17,3,       nan
4,18,3,       nan
4,19,3,       nan
4,20,3,       nan
4,21,3,       nan
4,22,3,    11.121
5,1,3,       nan
5,2,3,       nan
5,3,3,       nan
5,4,3,       nan
5,5,3,       nan
5,6,3,       nan
5,7,3,       nan
5,8,3,       nan
5,9,3,       nan
5,10,3,       nan
5,11,3,       nan
5,12,3,       nan
5,13,3,       nan
5,14,3,       nan
5,15,3,       nan
5,16,3,       nan
5,17,3,       nan
5,18,3,       nan
5,19,3,       nan
5,20,3,       nan
5,21,3,       nan
5,22,3,       nan
6,1,3,       nan
6,2,3,       nan
6,3,3,       nan
6,4,3,       nan
6,5,3,       nan
6,6,3,       nan
6,7,3,       nan
6,8,3,       nan
6,9,3,       nan
6,10,3,       nan
6,11,3,       nan
6,12,3,       nan
6,13,3,       nan
6,14,3,       nan
6,15,3,       nan
6,16,3,       nan
6,17,3,       nan
6,18,3,       nan
6,19,3,       nan
6,20,3,       nan
6,21,3,       nan
6,22,3,       nan
7,1,3,       nan
7,2,3,       nan
7,3,3,       nan
7,4,3,       nan
7,5,3,       nan
7,6,3,       nan
7,7,3,       nan
7,8,3,       nan
7,9,3,       nan
7,10,3,       nan
7,11,3,       nan
7,12,3,       nan
7,13,3,       nan
7,14,3,       nan
7,15,3,     5.744
7,16,3,     0.014
7,17,3,    14.252
7,18,3,    -6.758
7,19,3,    15.032
7,20,3,    17.781
7,21,3,     8.017
7,22,3,    -0.513
8,1,3,       nan
8,2,3,       nan
8,3,3,       nan
8,4,3,       nan
8,5,3,       nan
8,6,3,       nan
8,7,3,       nan
8,8,3,       nan
8,9,3,       nan
8,10,3,       nan
8,11,3,       nan
8,12,3,       nan
8,13,3,       nan
8,14,3,       nan
8,15,3,       nan
8,16,3,       nan
8,17,3,       nan
8,18,3,       nan
8,19,3,       nan
8,20,3,       nan
8,21,3,       nan
8,22,3,    -0.617
